Date,Time ,Bout,Video Sequence,Video ID,Pdog ID,Sex,Numerical Category code,Numerical Category,Ethogram Tag,Prairie Dog Behavior,Numerical Category code (snakes),Numerical Category,Ethogram Tag,Snake Behavior,Time stamp,* Curiosities,
,,,,,,,,6,Rocking  ,Forward-back rocking,,,NA,No snake visible ,0:07,,
,,,,,,,,5,Pushing dirt,Pushing dirt,,,NA,No snake visible ,0:11,,
,,,,,,,,4,Scratching,Scratch,,,,,,,
,,,,,,,,8,Rocking + Sniffing,Forward-back rocking- sniffing ,,,NA,No snake visible ,0:13,,
,,,,,,,,4,Scratching,Scratch ,,,NA,No snake visible ,0:15,,
,,,,,,,,8,Rocking + Sniffing,Forward-back rocking- sniffing ,,,NA,No snake visible ,0:17,,
,,,,,,,,5,Pushing dirt,Pushing dirt,,,NA,No snake visible ,0:19,,
,,,,,,,,4,Scratching,Scratch,,,,,,,
,,,,,,,,8,Rocking +Sniffing,Approach/Retreat - sniffing,,,NA,No snake visible ,0:19,,
,,,,,,,,5,Pushing dirt,Pushing dirt,,,NA,No snake visible ,0:20,,
,,,,,,,,4,Scratching,Scratch,,,,,,,
,,,,,,,,4,Scratching,Scratch ,,,NA,No snake visible ,0:20,,
,,,,,,,,8,Rocking + Sniffing,Forward-back rocking- sniffing ,,,NA,No snake visible ,0:22,,
,,,,,,,,5,Pushing dirt,Pushing dirt,,,NA,No snake visible ,0:24,,
,,,,,,,,4,Scratching,Scratch,,,,,,,
,,,,,,,,15,Moving away,Walking ,,,NA,No snake visible ,0:26,,
,,,,,,,,20,Fake foraging,Pretend foraging,,,NA,No snake visible ,0:31,,
,,,,,,,,3,Approach,Approach,,,NA,No snake visible ,0:32,,
,,,,,,,,1,Posting,Post,,,NA,No snake visible ,0:35,,
,,,,,,,,3,Approach,Approach,,,NA,No snake visible ,0:37,,
,,,,,,,,8,Rocking + Sniffing,Forward-back rocking- sniffing ,,,NA,No snake visible ,0:39,,
7/12/2021,10:17 AM,1,4,4475,,,,,,Snake found!,,,,,,,
7/12/2021,10:18 AM,1,5,4477,,,,,,Snake seen,,,,,,,
7/12/2021,7:59 PM,2,1,4623,White patches R &L side of mouth (upper lip),Unknown,,1,Posting,Post leaning forward,,,NA,No snake visible ,0:00,,
,,,,,,,,3,Approach,Approach,,,NA,No snake visible ,0:05,Tail up,
,,,,,,,,9,Approach + Sniffing,Approach - sniffing,,,NA,No snake visible,0:10,,
,,,,,,,,8,Rocking + Sniffing,Forward-back rocking- sniffing ,,,NA,No snake visible in video; JLV recorded on burrow,0:11,,
,,,,,,,,10,Retreat,Retreat,,,NA,No snake visible in video; JLV recorded on burrow,0:30,,
,,,,,,,,4,Scratching ,Scratch ,,,NA,No snake visible in video; JLV recorded on burrow,0:30,,
,,,,,,,,8,Rocking + Sniffing,Forward-back rocking- sniffing ,,,NA,No snake visible in video; JLV recorded on burrow,0:32,,
,,,,,,,,,NA,Out of film view ,,,NA,No snake visible in video; JLV recorded on burrow,0:38,Female prairie dog posting nearby observing,
,,,,,,,,4,Scratching ,Scratch ,,,NA,No snake visible in video; JLV recorded on burrow,0:41,,
